"gene","logFC","AveExpr","t","pvalue","padj"
"EVA1B",0.2508,8.5487,0.986,0.3241,0.5
"SH3D21",0.2075,8.5531,0.9299,0.3524,0.5271
"STK40",-0.2177,11.3307,-1.1035,0.2698,0.4427
"LSM10",0.1462,9.6762,0.6959,0.4865,0.6495
"OSCP1",1.171,8.5272,4.0722,4.657e-05,0.0006166
"MRPS15",0.3724,10.8118,1.6141,0.1065,0.2348
"CSF3R",0.7222,10.0671,1.7695,0.0768,0.1848
"GRIK3",3.4016,6.5192,4.654,3.256e-06,6.983e-05
"ZC3H12A",-0.0733,10.0421,-0.1513,0.8797,0.9327
"MEAF6",0.3232,10.9669,2.4239,0.01535,0.05718
"SNIP1",0.1514,9.4607,1.1648,0.2441,0.4141
"DNALI1",2.556,8.9569,6.4099,1.456e-10,1.33e-08
"GNL2",0.0634,10.9516,0.529,0.5968,0.7378
"RSPO1",0.6206,7.0403,1.3328,0.1826,0.3415
"C1orf109",-0.0975,9.2013,-0.7152,0.4745,0.6388
"CDCA8",-0.2257,8.9427,-0.6648,0.5062,0.6665
"EPHA10",2.1046,7.2324,4.2935,1.758e-05,0.0002794
"MANEAL",1.9112,8.7698,6.6743,2.484e-11,2.828e-09
"YRDC",0.2327,9.5584,1.4059,0.1597,0.311
"C1orf122",0.3255,9.9227,1.8709,0.06135,0.1572
"MTF1",-0.0919,9.9204,-0.6169,0.5373,0.6911
"INPP5B",0.6525,9.9786,2.5909,0.009572,0.03986
"SF3A3",0.131,11.2262,1.0337,0.3013,0.4762
"FHL3",-0.0608,9.3524,-0.2811,0.7786,0.8683
"UTP11",0.1287,10.0642,0.8034,0.4218,0.5925
"RRAGC",-0.08,10.5645,-0.4964,0.6196,0.7553
"MYCBP",0.4895,10.1827,2.5796,0.00989,0.0409
"GJA9",0.1695,6.5085,0.4708,0.6378,0.7689
"RP5-864K19.6",0.5392,8.7561,2.5649,0.01032,0.04227
"RHBDL2",0.0032,8.0957,0.0072,0.9943,0.9968
"AKIRIN1",0.209,11.2425,1.4497,0.1471,0.293
"NDUFS5",0.2646,11.4451,1.1721,0.2412,0.4109
"MACF1",0.4085,13.3618,1.551,0.1209,0.2566
"BMP8A",0.125,6.9276,0.385,0.7002,0.814
"PABPC4",0.2378,12.1479,1.0773,0.2813,0.4552
"HEYL",0.3471,9.6774,1.3312,0.1831,0.3422
"HPCAL4",2.5823,7.0209,4.1719,3.021e-05,0.0004362
"PPIE",0.1888,10.5135,1.3769,0.1685,0.323
"OXCT2",0.1283,6.476,0.3238,0.7461,0.8466
"BMP8B",0.102,8.2329,0.3105,0.7561,0.8532
"TRIT1",-0.1314,9.5636,-0.8568,0.3915,0.5648
"MYCL",-1.3466,9.0068,-3.409,0.0006519,0.005145
"MFSD2A",0.454,10.3669,1.3305,0.1833,0.3423
"CAP1",0.1504,13.4351,0.9745,0.3298,0.5051
"PPT1",0.2116,12.8738,1.0288,0.3036,0.4783
"RLF",-0.0765,10.0368,-0.4491,0.6533,0.781
"ZMPSTE24",0.3439,11.4187,2.2971,0.02161,0.07385
"COL9A2",-0.7814,9.0021,-1.7429,0.08136,0.1925
"SMAP2",0.0766,11.0939,0.3501,0.7263,0.8323
"ZFP69B",-0.0494,7.1566,-0.1958,0.8448,0.9112
"ZFP69",0.389,7.8731,2.1771,0.02947,0.09278
"EXO5",0.2359,8.4156,1.2884,0.1976,0.3601
"ZNF684",0.7593,7.4818,3.8153,0.000136,0.001494
"RIMS3",0.9407,8.4737,2.9327,0.00336,0.01824
"NFYC",0.0762,10.8794,0.5438,0.5866,0.7306
"KCNQ4",0.1919,6.9973,0.5003,0.6169,0.7533
"CITED4",-2.2631,8.41,-6.0361,1.579e-09,1.013e-07
"CTPS1",-0.3003,10.2732,-1.2797,0.2007,0.3641
"SLFNL1",0.2113,7.3133,0.6622,0.5078,0.6677
"SCMH1",0.4099,10.3119,2.4536,0.01414,0.05368
"FOXO6",0.1321,7.2776,0.2986,0.7652,0.8596
"EDN2",-1.793,7.6557,-2.6371,0.008362,0.03597
"HIVEP3",-0.8785,9.4012,-2.6562,0.007902,0.03446
"GUCA2A",5.1193,6.112,5.7251,1.034e-08,4.995e-07
"FOXJ3",0.1462,11.1261,0.8145,0.4153,0.5863
"RIMKLA",2.0577,8.8649,3.7566,0.0001722,0.0018
"ZMYND12",2.0708,7.2848,5.3518,8.707e-08,3.195e-06
"PPCS",0.6833,10.7697,3.6497,0.0002625,0.002522
"CCDC30",1.3739,7.7661,4.5674,4.937e-06,9.946e-05
"PPIH",0.0371,9.4493,0.1815,0.856,0.918
"YBX1",-0.3438,13.1246,-2.0776,0.03774,0.1113
"P3H1",-0.366,10.3085,-2.0499,0.04037,0.117
"C1orf50",0.4591,8.3104,2.3897,0.01686,0.06135
"RP5-994D16.12",0.4516,8.2035,2.2918,0.02191,0.07453
"TMEM269",0.3498,7.114,1.4873,0.1369,0.2786
"SVBP",0.4304,9.0622,1.9778,0.04795,0.1321
"ERMAP",-0.056,9.503,-0.306,0.7596,0.8559
"ZNF691",0.2755,8.6498,1.6614,0.09662,0.2188
"SLC2A1",-1.2303,12.2949,-3.3031,0.0009562,0.006977
"FAM183A",1.5637,7.3637,2.1919,0.02839,0.09034
"CFAP57",0.7009,8.3599,1.7229,0.0849,0.1987
"EBNA1BP2",0.1552,10.8102,1.0523,0.2927,0.4668
"TMEM125",2.8484,10.5734,8.9658,3.079e-19,2.132e-16
"C1orf210",1.9716,8.9284,7.4734,7.814e-14,1.779e-11
"TIE1",0.3099,10.1127,1.1692,0.2423,0.412
"CDC20",-0.4794,9.382,-1.3247,0.1853,0.3449
"ELOVL1",0.2457,11.6108,1.2501,0.2113,0.3768
"MED8",0.312,10.4287,2.2229,0.02622,0.08506
"HYI",0.4278,9.8595,2.4339,0.01494,0.05607
"SZT2",0.2813,11.2156,1.709,0.08745,0.2036
"PTPRF",-0.7045,14.1403,-3.398,0.0006788,0.005324
"KDM4A",-0.2595,11.1525,-1.4762,0.1399,0.2826
"ST3GAL3",-0.6598,9.1855,-2.5119,0.01201,0.04737
"ARTN",-2.5108,7.5398,-4.8504,1.232e-06,3.075e-05
"IPO13",-0.3769,10.5008,-2.1306,0.03312,0.1013
"DPH2",-0.0492,9.7472,-0.2722,0.7855,0.873
"ATP6V0B",0.6046,11.9675,2.3087,0.02096,0.07224
"B4GALT2",0.0082,10.6399,0.0404,0.9677,0.9822
"CCDC24",0.5408,8.8627,2.0468,0.04068,0.1176
"SLC6A9",-0.4745,9.4983,-1.9924,0.04633,0.1291
"DMAP1",0.4251,10.0776,2.0573,0.03965,0.1155
"ERI3",0.07,10.6951,0.5083,0.6112,0.7493
"RNF220",0.0793,11.0606,0.5776,0.5635,0.7126
"TMEM53",0.599,9.7968,4.0655,4.792e-05,0.0006326
"C1orf228",0.97,7.1926,2.5958,0.009437,0.03945
"KIF2C",-0.107,9.0868,-0.2912,0.7709,0.8637
"RPS8",0.6532,14.1902,2.9062,0.003658,0.01937
"BEST4",1.6251,6.4685,3.9167,8.978e-05,0.001063
"PLK3",0.1759,9.476,0.6011,0.5478,0.6993
"TCTEX1D4",1.0103,6.4031,2.2544,0.02417,0.08008
"BTBD19",-0.0599,7.7031,-0.1963,0.8444,0.9111
"PTCH2",-0.4015,6.9699,-1.1683,0.2427,0.4124
"EIF2B3",0.3507,9.6294,2.2525,0.02429,0.08042
"HECTD3",0.2451,10.7341,1.4508,0.1468,0.2926
"UROD",0.5901,10.7618,3.4822,0.0004974,0.004185
"ZSWIM5",1.6018,8.3932,4.0615,4.876e-05,0.0006426
"HPDL",0.177,6.8015,0.3536,0.7236,0.8303
"MUTYH",0.0087,8.9489,0.046,0.9633,0.9804
"TOE1",0.2072,8.909,1.2818,0.1999,0.3632
"TESK2",-1.0952,8.4571,-4.2592,2.052e-05,0.0003181
"CCDC163",-0.0124,7.3717,-0.0392,0.9688,0.9827
"MMACHC",-0.1263,12.1363,-0.3971,0.6913,0.8071
"PRDX1",-0.125,13.7803,-0.3802,0.7038,0.8165
"AKR1A1",0.2546,11.907,1.6541,0.09811,0.2213
"NASP",-0.2692,11.4904,-1.4724,0.1409,0.2841
"CCDC17",1.6752,7.5889,2.7512,0.005937,0.02783
"GPBP1L1",0.3421,12.1356,3.1596,0.00158,0.01021
"TMEM69",-0.1547,9.805,-0.8663,0.3863,0.5598
"IPP",0.3694,8.9666,2.6837,0.007281,0.0325
"MAST2",0.065,10.5883,0.3406,0.7334,0.8372
"PIK3R3",-0.373,10.5433,-1.1751,0.24,0.4096
"RP4-533D7.6",-0.1907,8.5375,-0.5317,0.5949,0.7362
"TSPAN1",0.4157,10.8962,0.6954,0.4868,0.6497
"POMGNT1",-0.0628,11.3312,-0.3812,0.703,0.816
"LURAP1",-0.6545,7.003,-1.7849,0.07428,0.1802
"RAD54L",-0.9833,8.3229,-3.2722,0.001067,0.007544
"LRRC41",-0.138,11.6188,-1.1046,0.2693,0.4422
"UQCRH",0.0998,11.1434,0.4354,0.6633,0.7877
"NSUN4",0.1743,9.9424,1.857,0.06331,0.1605
"FAAH",0.8057,9.2126,2.8866,0.003894,0.02028
"DMBX1",1.7296,6.2893,2.4171,0.01564,0.0579
"MKNK1",-0.341,10.2829,-1.9664,0.04926,0.1346
"MOB3C",-0.5407,9.9532,-2.7423,0.0061,0.02836
"ATPAF1",0.0631,10.5502,0.4723,0.6367,0.7684
"EFCAB14",0.1087,12.4284,0.7859,0.4319,0.6019
"CYP4B1",0.9461,10.8675,1.3845,0.1662,0.3197
"CYP4X1",0.9639,8.8491,1.7958,0.07253,0.1771
"CYP4Z1",-0.7705,6.6106,-1.2071,0.2274,0.3954
"PDZK1IP1",0.5586,9.8895,1.0852,0.2778,0.4516
"TAL1",0.5205,7.8221,1.6999,0.08914,0.2062
"STIL",-0.3967,8.6064,-1.3534,0.1759,0.3324
"CMPK1",0.534,12.4634,3.0785,0.002081,0.01269
"FOXD2",0.6206,6.9722,2.1176,0.03421,0.1036
"TRABD2B",1.1214,7.268,2.8828,0.003941,0.02042
"SLC5A9",1.7552,7.1981,3.5364,0.0004057,0.003573
"SPATA6",1.1942,8.7518,4.3706,1.239e-05,0.000211
"BEND5",0.5812,7.6629,1.3329,0.1826,0.3415
"AGBL4",0.6843,6.4864,1.2491,0.2116,0.3772
"ELAVL4",1.1281,6.3868,1.9966,0.04587,0.1282
"DMRTA2",-1.8459,7.03,-2.4961,0.01256,0.04908
"FAF1",-0.1352,10.7309,-1.1308,0.2581,0.4294
"CDKN2C",0.379,8.903,1.1382,0.255,0.426
"RNF11",-0.0329,11.7849,-0.2226,0.8238,0.8972
"TTC39A",1.7657,9.7348,6.9901,2.747e-12,4.15e-10
"EPS15",0.1793,11.3938,1.428,0.1533,0.3016
"OSBPL9",0.1682,11.8596,1.0959,0.2731,0.4467
"NRDC",0.0108,12.2127,0.0565,0.9549,0.9749
"RAB3B",0.1222,7.6954,0.1861,0.8524,0.9161
"KTI12",0.4777,8.5942,2.3538,0.01858,0.06602
"TXNDC12",0.1005,11.4992,0.5589,0.5762,0.7224
"BTF3L4",0.3433,10.593,1.6841,0.09216,0.2117
"ZFYVE9",-0.3975,10.058,-1.7989,0.07204,0.1765
"CC2D1B",0.2751,10.7519,1.9231,0.05446,0.1446
"ORC1",-0.3882,8.1659,-1.0954,0.2733,0.4469
"PRPF38A",-0.0147,10.6226,-0.1,0.9204,0.9565
"ZCCHC11",0.0343,10.2514,0.186,0.8524,0.9161
"GPX7",-0.2559,8.8659,-0.8129,0.4163,0.5873
"FAM159A",0.2411,6.5336,0.6667,0.505,0.6655
"COA7",-0.0384,9.5495,-0.2071,0.8359,0.9057
"ZYG11B",0.4246,10.4489,3.2296,0.001239,0.008534
"ZYG11A",0.1716,6.779,0.3018,0.7628,0.8583
"ECHDC2",0.2406,10.5423,0.9333,0.3507,0.5254
"SCP2",0.655,12.193,3.5958,0.0003234,0.003004
"PODN",0.8311,10.4235,2.1218,0.03385,0.1029
"SLC1A7",2.431,7.2773,4.7808,1.746e-06,4.11e-05
"CPT2",0.3683,10.1613,2.5689,0.0102,0.04191
"C1orf123",0.4581,10.0227,2.9268,0.003424,0.01849
"MAGOH",-0.0026,9.7571,-0.014,0.9889,0.9941
"LRP8",-0.5918,9.5691,-1.5625,0.1182,0.2522
"GLIS1",-1.1178,6.2429,-2.1907,0.02848,0.09053
"NDC1",-0.1424,10.2211,-0.7389,0.4599,0.6262
"YIPF1",0.3946,10.1327,2.4706,0.01349,0.05191
"HSPB11",0.2331,9.2245,1.2191,0.2228,0.39
"LRRC42",0.02,10.0417,0.1173,0.9066,0.9486
"LDLRAD1",3.2535,7.897,4.8292,1.371e-06,3.355e-05
"TMEM59",0.8182,13.2239,4.7751,1.796e-06,4.198e-05
"TCEANC2",0.071,8.9001,0.5423,0.5876,0.7315
"CYB5RL",0.1798,8.3664,0.8549,0.3926,0.5656
"RP11-446E24.4",0.7134,6.8226,3.0826,0.002052,0.01257
"MRPL37",-0.2727,10.958,-1.9655,0.04936,0.1348
"SSBP3",-0.7237,10.4529,-2.814,0.004892,0.02392
"FAM151A",-0.2051,7.5168,-0.6457,0.5185,0.6764
"ACOT11",0.0742,8.4726,0.2444,0.8069,0.8873
"MROH7",-0.7988,7.16,-1.8721,0.06119,0.1569
"MROH7-TTC4",-0.2339,9.8587,-1.9805,0.04765,0.1316
"TTC4",-0.1829,9.8488,-1.5067,0.1319,0.272
"PARS2",-1e-04,8.0235,-9e-04,0.9993,0.9996
"TTC22",-0.2463,9.3742,-0.7466,0.4553,0.6225
"LEXM",-0.4943,6.271,-0.9308,0.3519,0.5267
"DHCR24",-0.3794,14.3695,-1.5832,0.1134,0.2447
"TMEM61",1.7871,6.9568,3.6315,0.0002818,0.00268
"PCSK9",-1.4983,9.7692,-2.6667,0.00766,0.03372
"USP24",0.1924,11.1287,1.2625,0.2068,0.3718
"PLPP3",-0.3315,11.5657,-1.5798,0.1142,0.2458
"PRKAA2",1.4413,8.5692,3.7116,0.0002059,0.002078
"C1orf168",1.5884,7.1088,2.9886,0.002803,0.01595
"C8B",3.2494,6.922,4.4015,1.075e-05,0.0001901
"DAB1",-0.6594,7.7406,-2.07,0.03845,0.113
"OMA1",0.39,9.1869,2.1439,0.03204,0.09885
"TACSTD2",-0.4903,13.0397,-1.3615,0.1734,0.3291
"MYSM1",0.0981,9.8603,0.507,0.6121,0.7497
"JUN",-0.3735,12.9803,-0.9999,0.3174,0.4931
"FGGY",0.7182,8.7505,2.8809,0.003965,0.02049
"HOOK1",0.072,10.0095,0.2344,0.8147,0.8921
"CYP2J2",0.8947,7.9271,2.2853,0.0223,0.07552
"C1orf87",2.4194,6.8387,3.0619,0.0022,0.01324
"NFIA",-0.2572,10.4077,-0.9748,0.3296,0.5049
"TM2D1",0.1746,9.8547,1.0267,0.3046,0.4792
"PATJ",0.3837,11.1847,2.1936,0.02827,0.09005
"L1TD1",-0.9808,6.766,-1.6986,0.0894,0.2066
"KANK4",-0.9868,7.6841,-2.0489,0.04048,0.1172
"USP1",-0.1444,10.8013,-0.8146,0.4153,0.5863
"DOCK7",-0.4262,10.2414,-2.7946,0.005196,0.02509
"ATG4C",0.3474,8.8945,2.0062,0.04483,0.1261
"ALG6",-0.2777,9.0571,-2.2085,0.02721,0.08744
"EFCAB7",0.3421,8.259,1.8628,0.0625,0.1593
"ITGB3BP",0.5916,9.2049,2.9035,0.003691,0.0195
"PGM1",0.7722,11.5008,3.1734,0.001507,0.009843
"ROR1",0.421,8.5516,1.0434,0.2967,0.4708
"CACHD1",-0.499,9.9715,-1.1949,0.2321,0.4005
"RAVER2",-0.4621,9.609,-2.0879,0.0368,0.1093
"JAK1",0.1919,12.5798,1.1227,0.2616,0.4335
"AK4",-0.0607,9.4323,-0.1389,0.8896,0.9381
"DNAJC6",0.3263,7.875,0.9684,0.3328,0.5076
"LEPROT",0.6209,12.1033,3.4111,0.0006471,0.005114
"LEPR",0.3697,9.9677,1.1203,0.2626,0.4348
"PDE4B",-0.9348,9.8895,-2.3225,0.02021,0.07018
"SGIP1",-0.1191,7.9873,-0.4065,0.6844,0.8021
"TCTEX1D1",1.7041,6.8717,3.5424,0.0003965,0.003511
"WDR78",1.5192,7.871,2.9957,0.002738,0.01566
"MIER1",0.4755,10.606,2.484,0.01299,0.05048
"SLC35D1",-0.0823,9.5466,-0.4572,0.6475,0.7768
"IL12RB2",-2.0624,7.2339,-3.9583,7.55e-05,0.0009253
"SERBP1",-0.2448,12.8723,-1.8837,0.05961,0.1543
"GADD45A",-0.1501,10.2215,-0.4034,0.6866,0.8034
"GNG12",-0.1247,11.9475,-0.5814,0.561,0.7102
"DIRAS3",1.2566,7.2614,2.8761,0.004027,0.02073
"WLS",-0.8377,11.2237,-2.3873,0.01697,0.06162
"DEPDC1",-0.3684,8.2651,-1.0014,0.3166,0.4923
"LRRC7",-1.5315,6.5521,-2.98,0.002883,0.01626
"LRRC40",-0.1457,9.323,-0.7134,0.4756,0.6395
"SRSF11",-0.1558,12.0627,-0.9,0.3681,0.5427
"ANKRD13C",-0.0455,9.816,-0.3028,0.7621,0.8577
"HHLA3",-0.4106,8.111,-1.6625,0.09641,0.2184
"CTH",0.1302,7.8138,0.3263,0.7442,0.8454
"PTGER3",-0.6266,7.3466,-1.4094,0.1587,0.3095
"ZRANB2",0.3084,11.1475,1.7036,0.08845,0.2052
"NEGR1",1.0305,8.1247,2.8618,0.004213,0.02139
"LRRIQ3",0.4742,6.6958,1.1366,0.2557,0.4267
"FPGT",0.6119,9.363,3.0284,0.002459,0.01443
"FPGT-TNNI3K",0.8755,7.6945,4.6227,3.788e-06,7.939e-05
"TNNI3K",1.3567,6.7055,4.2063,2.596e-05,0.0003873
"ERICH3",2.4375,7.4155,3.1165,0.00183,0.01144
"CRYZ",1.1994,10.3617,3.9386,8.195e-05,0.0009882
"TYW3",-0.1785,9.613,-1.2937,0.1958,0.358
"SLC44A5",0.1184,8.1482,0.2256,0.8215,0.8962
"ACADM",0.8182,10.5419,4.2623,2.023e-05,0.0003143
"RABGGTB",0.1052,10.55,0.6624,0.5077,0.6676
"ST6GALNAC3",-0.0316,7.6823,-0.0917,0.9269,0.9599
"ST6GALNAC5",-0.0183,8.78,-0.051,0.9593,0.9776
"PIGK",0.4379,10.2549,2.9431,0.00325,0.01778
"AK5",0.2823,6.357,0.5922,0.5537,0.7042
"ZZZ3",-0.057,10.3234,-0.41,0.6818,0.8006
"USP33",0.1864,11.0029,1.3653,0.1722,0.3276
"MIGA1",0.4278,9.7841,2.5926,0.009527,0.03976
"NEXN",0.1838,9.0278,0.6707,0.5024,0.663
"FUBP1",0.0923,11.4898,0.6168,0.5373,0.6911
"DNAJB4",-0.0397,9.8683,-0.154,0.8776,0.9314
"GIPC2",2.3832,7.6235,5.7693,7.962e-09,4.071e-07
"PTGFR",0.1768,7.4357,0.473,0.6362,0.7681
"IFI44L",-0.2931,9.9866,-0.6349,0.5255,0.6822
"IFI44",0.0016,9.9881,0.0041,0.9968,0.9981
"ADGRL4",0.3564,9.3513,1.5942,0.1109,0.241
"ADGRL2",-0.6389,10.8113,-1.8812,0.05994,0.1548
"TTLL7",0.0814,8.5815,0.193,0.8469,0.913
"PRKACB",0.4182,10.3908,1.5045,0.1325,0.2726
"SAMD13",1.7697,6.8963,4.3229,1.54e-05,0.0002529
"DNASE2B",-0.133,6.6173,-0.2367,0.8129,0.891
"RPF1",0.0169,9.9498,0.1108,0.9118,0.9517
"GNG5",0.2504,11.3801,1.4367,0.1508,0.298
"SPATA1",0.3729,8.9446,1.5437,0.1227,0.2592
"CTBS",0.3829,10.103,1.6251,0.1041,0.2314
"SSX2IP",-0.7255,9.5389,-2.9866,0.002821,0.01603
"LPAR3",-1.7671,8.3866,-3.4611,0.0005379,0.004459
"MCOLN2",-0.3118,7.7836,-0.8118,0.4169,0.588
"MCOLN3",-0.7911,8.1558,-1.7387,0.08208,0.1937
"WDR63",1.7524,7.0011,2.8698,0.004107,0.02103
"SYDE2",0.9527,8.3169,2.2965,0.02165,0.07392
"C1orf52",0.043,9.1739,0.2249,0.8221,0.8965
"BCL10",-0.0122,9.7275,-0.073,0.9418,0.9677
"DDAH1",1.6657,11.0129,5.0529,4.352e-07,1.287e-05
"CYR61",0.3613,12.4149,0.8614,0.389,0.5623
"ZNHIT6",-0.2002,9.6821,-1.4009,0.1612,0.3128
"COL24A1",-0.2412,7.2682,-0.6794,0.4969,0.6583
"ODF2L",0.2719,9.9907,1.2896,0.1972,0.3596
"CLCA2",-5.4829,8.2609,-6.4939,8.362e-11,8.128e-09
"CLCA4",-2.8916,6.727,-3.2764,0.001051,0.007454
"SH3GLB1",0.1542,11.9581,1.1669,0.2433,0.413
"SELENOF",0.6032,12.4711,2.4466,0.01442,0.05457
"HS2ST1",0.1275,10.7615,0.7219,0.4703,0.6352
"RP5-1052I5.2",0.3333,8.7625,1.7182,0.08577,0.2005
"LMO4",-1.5846,11.0684,-5.6308,1.794e-08,8.102e-07
"PKN2",0.0642,11.0366,0.4207,0.6739,0.7952
"GTF2B",0.5133,9.8536,2.5553,0.01061,0.04312
"KYAT3",0.0054,9.5486,0.0304,0.9757,0.9867
"RBMXL1",-0.2477,10.3384,-1.8372,0.06617,0.1658
"GBP3",1.1518,10.2864,2.6766,0.007436,0.03301
"GBP1",-0.5316,11.2143,-1.4706,0.1414,0.2847
"GBP2",0.3942,11.4598,1.3145,0.1887,0.3494
"GBP7",-0.8943,6.4412,-1.5627,0.1181,0.2521
"GBP4",-0.6151,11.0962,-1.6313,0.1028,0.2295
"GBP5",-1.0181,9.8624,-2.3004,0.02142,0.07338
"GBP6",-5.6736,7.8435,-8.5649,1.082e-17,5.562e-15
"LRRC8B",-0.2982,10.3204,-1.5949,0.1107,0.2408
"LRRC8C",-0.6583,9.7548,-2.8797,0.00398,0.02055
"RP11-302M6.4",-1.1067,7.4069,-4.4162,1.005e-05,0.0001801
"LRRC8D",-1.0589,10.181,-5.1114,3.198e-07,9.916e-06
"ZNF326",-0.3733,9.8991,-2.6021,0.009266,0.03889
"ZNF644",0.0148,10.471,0.0841,0.933,0.9633
"HFM1",1.764,6.3615,3.7589,0.0001707,0.001787
"CDC7",-0.1103,8.5009,-0.3838,0.7011,0.8146
"TGFBR3",-0.7054,10.0266,-1.9424,0.05209,0.1401
"EPHX4",1.0898,6.9137,2.2038,0.02754,0.08827
"SETSIP",-0.459,7.6424,-2.9349,0.003336,0.01815
"KIAA1107",0.6325,7.8655,2.8335,0.004604,0.02283
"BTBD8",0.6482,7.9729,2.8472,0.00441,0.02212
"GLMN",-0.0541,8.1936,-0.2677,0.7889,0.875
"RPAP2",0.0228,9.3647,0.1651,0.8688,0.9257
"GFI1",-0.3284,7.5165,-0.8704,0.3841,0.5579
"EVI5",0.4354,9.862,2.37,0.01779,0.06387
"RPL5",0.5054,13.8658,2.0961,0.03607,0.1077
"FAM69A",-0.5266,9.1279,-2.5912,0.009565,0.03984
"MTF2",0.0784,9.7133,0.4938,0.6215,0.757
"TMED5",0.7853,11.6665,3.7211,0.0001983,0.002021
"CCDC18",0.2907,8.9826,1.9402,0.05236,0.1406
"DR1",-0.1689,11.2509,-1.0486,0.2944,0.4682
"FNBP1L",0.8371,11.1268,4.3707,1.239e-05,0.000211
"BCAR3",0.0934,9.7918,0.2488,0.8035,0.8849
"DNTTIP2",0.015,11.1296,0.0877,0.9301,0.9616
"GCLM",-0.8374,10.6509,-2.2676,0.02336,0.07799
"ABCA4",1.4332,7.2899,2.7367,0.006206,0.02872
"ARHGAP29",0.6898,10.6039,2.0165,0.04375,0.124
"ABCD3",0.7958,10.9853,3.5417,0.0003975,0.003514
"F3",-1.037,11.6821,-2.3061,0.02111,0.07259
"SLC44A3",1.1879,9.2804,4.9337,8.07e-07,2.17e-05
"CNN3",-0.4097,12.3466,-1.4341,0.1515,0.2989
"ALG14",0.427,8.5491,2.4604,0.01388,0.05306
"TMEM56",1.3086,8.9274,4.3023,1.69e-05,0.0002732
"TMEM56-RWDD3",0.2154,8.4896,1.2022,0.2293,0.3978
"RWDD3",0.0639,8.6138,0.3447,0.7303,0.8352
"PTBP2",0.3741,8.8913,1.3592,0.1741,0.3301
"DPYD",0.5587,10.6452,1.7661,0.07738,0.1856
"SNX7",0.1491,9.3639,0.6319,0.5274,0.684
"PLPPR4",-0.06,7.7392,-0.1455,0.8843,0.9354
"PALMD",-0.4217,9.4441,-1.0555,0.2912,0.4655
"FRRS1",-1.4543,8.586,-5.6845,1.312e-08,6.159e-07
"AGL",-0.0992,10.161,-0.4437,0.6572,0.7838
"SLC35A3",0.2635,10.5387,1.3745,0.1693,0.3241
"RP4-714D9.5",-0.1559,11.2213,-1.2515,0.2108,0.3764
"MFSD14A",-0.25,11.062,-2.0277,0.0426,0.1214
"SASS6",-0.2179,8.2585,-0.9692,0.3325,0.5074
"TRMT13",0.2202,8.7857,1.2046,0.2284,0.3966
"LRRC39",0.2132,7.2851,0.9199,0.3576,0.5323
"DBT",0.0772,10.1045,0.5199,0.6031,0.7427
"RTCA",-0.0118,10.0248,-0.0755,0.9399,0.9666
"CDC14A",0.2878,8.7073,0.8917,0.3726,0.5472
"GPR88",0.4068,6.2042,0.7755,0.4381,0.6073
"VCAM1",-2.1036,10.1701,-3.7781,0.000158,0.001675
"EXTL2",-0.1498,9.2103,-0.7662,0.4436,0.6121
"SLC30A7",0.2027,10.4523,1.3562,0.175,0.3313
"DPH5",0.2425,9.2601,1.1489,0.2506,0.4216
"S1PR1",0.5855,10.1252,2.0052,0.04494,0.1264
"COL11A1",-0.0071,9.0394,-0.0123,0.9902,0.9946
"RNPC3",0.5982,8.913,2.2341,0.02548,0.08323
"AMY2B",1.019,8.5241,3.0049,0.002657,0.01531
"AMY2A",1.1344,6.1865,2.0857,0.03701,0.1099
"AMY1A",1.5198,8.4591,2.2666,0.02342,0.07815
"AMY1B",0.7731,6.6388,1.1924,0.2331,0.4014
"AMY1C",1.4832,7.3301,2.2753,0.02289,0.07694
"PRMT6",-0.2984,9.1893,-1.2653,0.2058,0.3705
"NTNG1",2.049,7.2542,3.5079,0.0004517,0.003878
"VAV3",-0.1881,9.1195,-0.4291,0.6679,0.7909
"SLC25A24",0.5636,10.7347,3.0735,0.002116,0.01285
"FAM102B",-0.1002,9.8377,-0.4108,0.6812,0.8001
"HENMT1",0.1317,8.456,0.4152,0.678,0.7979
"PRPF38B",-0.2838,10.8322,-2.0126,0.04416,0.1248
"STXBP3",0.2135,10.348,1.6047,0.1086,0.2378
"GPSM2",-0.2512,10.5124,-1.4498,0.1471,0.293
"CLCC1",0.0453,10.5358,0.3537,0.7235,0.8303
"RP11-475E11.9",0.1635,6.4888,0.622,0.534,0.6888
"WDR47",-0.8743,9.5482,-5.0864,3.649e-07,1.101e-05
"TAF13",0.187,9.8253,0.9042,0.3659,0.5406
"TMEM167B",-0.0501,10.8973,-0.3677,0.7131,0.8226
"C1orf194",2.085,6.9905,2.6219,0.008743,0.03716
"KIAA1324",0.6574,10.0146,1.2562,0.2091,0.3744
"SARS",0.033,11.9574,0.2603,0.7946,0.8782
"CELSR2",-1.9643,10.1954,-6.0119,1.833e-09,1.154e-07
"PSRC1",-0.4882,8.2454,-1.6341,0.1022,0.2284
"MYBPHL",5.2744,6.7281,7.4893,6.926e-14,1.621e-11
"SORT1",0.9086,12.1244,4.395,1.108e-05,0.0001937
"PSMA5",0.1953,11.4161,0.9527,0.3407,0.5155
"SYPL2",1.8904,6.7951,4.5582,5.159e-06,0.0001034
"ATXN7L2",-0.2132,7.9032,-1.1063,0.2686,0.4414
"CYB561D1",-0.0874,9.0315,-0.4315,0.6661,0.7895
"AMIGO1",0.3657,8.7255,1.1052,0.2691,0.442
